model,tag,step,value,wall_time,source
Alpha,Eval/reward,95000,1042.2369384765625,1781860906.3020291,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,95000,792.6170043945312,1781946011.536329,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,100000,1036.8338623046875,1781860919.467275,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,100000,819.0512084960938,1781946025.517754,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,105000,979.7798461914062,1781860932.4444091,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,105000,773.4349365234375,1781946039.19717,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,110000,1219.503662109375,1781860945.499896,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,110000,802.2145385742188,1781946053.056034,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,115000,741.660888671875,1781860958.3838,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,115000,810.259765625,1781946067.097288,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,120000,1419.41845703125,1781860971.5600839,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,120000,841.771484375,1781946080.510779,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,125000,1644.3509521484375,1781860984.686367,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
Alpha,Eval/reward,125000,803.0062866210938,1781946094.224643,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781945677.AndrewdeMacBook-Air.local.88916.0
Alpha,Eval/reward,130000,1441.5660400390625,1781861008.342515,RL_Labcowork/output/02train_td3/tb/events.out.tfevents.1781860712.AndrewdeMacBook-Air.local.81762.0
